Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Fenerbahçe,2004-2005,27,25.3,6,3360000,90600000
Galatasaray,2004-2005,32,26.5,10,2490000,79650000
Beşiktaş,2004-2005,33,27,8,2310000,76250000
Trabzonspor,2004-2005,29,25.2,7,2190000,63600000
Gençlerbirliği,2004-2005,33,25.9,7,1420000,46950000
Gaziantepspor,2004-2005,32,24.8,6,1210000,38600000
Konyaspor,2004-2005,29,28.2,8,1280000,37250000
Samsunspor,2004-2005,37,25.9,8,936000,34650000
Malatyaspor,2004-2005,32,26.3,9,1060000,33950000
Ankaragücü,2004-2005,42,25.5,10,780000,32759999.999999996
BB Ankaraspor,2004-2005,37,25.9,8,885000,32750000
Kayserispor,2004-2005,38,26.6,8,790000,30030000
İstanbulspor,2004-2005,34,26,9,810000,27550000
Denizlispor,2004-2005,30,25.7,7,908000,27240000
A.Sebatspor,2004-2005,36,27.2,5,742000,26730000
Diyarbakırspor,2004-2005,31,27.5,7,740000,22930000
Ç. Rizespor,2004-2005,29,26.5,7,788000,22850000
Sakaryaspor,2004-2005,32,25.6,7,464000,14850000
Fenerbahçe,2005-2006,25,25.8,5,2920000,73000000
Beşiktaş,2005-2006,40,26,9,1740000,69650000
Galatasaray,2005-2006,35,25.2,6,1860000,64950000
Trabzonspor,2005-2006,35,25.2,9,1830000,64140000
Ankaraspor,2005-2006,39,25.7,8,834000,32530000
Gaziantepspor,2005-2006,39,24.7,11,826000,32200000.000000004
Denizlispor,2005-2006,35,26.3,9,834000,29210000
Konyaspor,2005-2006,31,26.8,7,920000,28520000
Ankaragücü,2005-2006,43,26,10,632000,27160000
Samsunspor,2005-2006,37,25.9,11,697000,25790000
Gençlerbirliği,2005-2006,34,24.9,9,755000,25680000
Malatyaspor,2005-2006,37,25.8,10,678000,25080000
Kayserispor,2005-2006,34,24.1,6,689000,23430000
Manisaspor,2005-2006,41,25.3,9,558000,22870000
K. Erciyesspor,2005-2006,33,27.2,8,690000,22760000
Diyarbakırspor,2005-2006,38,28,8,578000,21980000
Sivasspor,2005-2006,34,26.5,9,622000,21150000
Ç. Rizespor,2005-2006,34,26.3,9,512000,17420000
Fenerbahçe,2006-2007,34,26,7,3360000,114200000
Galatasaray,2006-2007,33,26,6,2330000,76880000
Beşiktaş,2006-2007,31,24.2,7,2260000,70070000
Trabzonspor,2006-2007,30,26.5,9,2250000,67400000
Ankaraspor,2006-2007,35,25.2,8,1140000,39900000
Ankaragücü,2006-2007,37,25.3,7,1020000,37790000
Sivasspor,2006-2007,35,27.1,10,1060000,37150000
Manisaspor,2006-2007,35,24.3,8,1060000,37100000
Sakaryaspor,2006-2007,42,26,8,873000,36650000
Konyaspor,2006-2007,32,26.3,11,1140000,36450000
Kayserispor,2006-2007,31,25.9,9,1150000,35650000
Gençlerbirliği,2006-2007,32,24.3,8,1110000,35530000
